order;Type;IS;PL;EL;area
4;Snow Avalanche;0.303721232519149;0.443290898891941;0.25298786858891;1
1;Snow Avalanche;0.0839782209730365;0.694980586483179;0.221041192543785;1
8;Snow Avalanche;0.0979745911352092;0.251618765038456;0.650406643826335;1
7;Snow Avalanche;0.142762975654162;0.263163966718373;0.594073057627465;1
2;Snow Avalanche;0.13856406460551;0.497990694969972;0.363445240424518;
3;Snow Avalanche;0.201547730335288;0.501650377256599;0.296801892408114;
5;Snow Avalanche;0.228140833643416;0.413202310451019;0.358656855905565;
6;Snow Avalanche;0.12316805742712;0.317809910680379;0.559022031892501;
53;Debris Flow;0.522565207149734;0.248449756522456;0.228985036327809;2
52;Debris Flow;0.463565909568313;0.134397093877644;0.402036996554043;2
41;Debris Flow;0.195259580090895;0.0580879715117297;0.746652448397375;2
40;Debris Flow;0.146093498773044;0.0717221070611663;0.78218439416579;2
36;Debris Flow;0.0828799656500924;0.31500770573943;0.602112328610477;2
23;Debris Flow;0.0730467493865221;0.473208985404062;0.453744265209415;2
20;Debris Flow;0.117998595162843;0.631998269328554;0.250003135508603;2
9;Debris Flow;0.216330757798546;0.681372333996104;0.10229690820535;2
11;Debris Flow;0.304829704170679;0.593327240372082;0.10184305545724;2
10;Debris Flow;0.250044642130787;0.631668676501516;0.118286681367697;
12;Debris Flow;0.302020213809658;0.518089649786168;0.179890136404173;
13;Debris Flow;0.35821002103006;0.492427836200299;0.149362142769642;
14;Debris Flow;0.335734098141899;0.463519812242919;0.200746089615182;
15;Debris Flow;0.310448684892718;0.405602908161913;0.283948406945368;
16;Debris Flow;0.258473113213847;0.532563930011081;0.208962956775072;
17;Debris Flow;0.238806680686707;0.520499336055673;0.24069398325762;
18;Debris Flow;0.162950440939165;0.62898706663504;0.208062492425795;
19;Debris Flow;0.150307734314574;0.609760974691861;0.239931290993564;
21;Debris Flow;0.117998595162843;0.596718463975756;0.285282940861401;
22;Debris Flow;0.132046046967944;0.480205686978315;0.387748266053741;
24;Debris Flow;0.116593849982333;0.447785800069661;0.435620349948006;
25;Debris Flow;0.139069772870494;0.437764383637746;0.42316584349176;
26;Debris Flow;0.153117224675594;0.436823382796023;0.410059392528383;
27;Debris Flow;0.205092796354466;0.441249222260723;0.353657981384811;
28;Debris Flow;0.223354483701096;0.447933463745559;0.328712052553345;
29;Debris Flow;0.223354483701096;0.434551468611739;0.342094047687165;
30;Debris Flow;0.240211425867217;0.416390637431355;0.343397936701428;
31;Debris Flow;0.244425661408747;0.436181329879568;0.319393008711685;
32;Debris Flow;0.271115819838438;0.347410459910465;0.381473720251097;
33;Debris Flow;0.205092796354466;0.39137087676194;0.403536326883594;
34;Debris Flow;0.182616873466305;0.282170882001641;0.535212244532054;
35;Debris Flow;0.125022321065393;0.308535068177766;0.566442610756841;
37;Debris Flow;0.137665027689984;0.286398629707319;0.575936342602697;
38;Debris Flow;0.105355888538253;0.245375583711409;0.649268527750338;
39;Debris Flow;0.139069772870494;0.199321561253317;0.661608665876189;
42;Debris Flow;0.203688051173956;0.246087847892341;0.550224100933704;
43;Debris Flow;0.306234449351188;0.244692994302508;0.449072556346304;
44;Debris Flow;0.334329352961389;0.245244082643393;0.420426564395218;
45;Debris Flow;0.349781549947;0.201021633785624;0.449196816267376;
46;Debris Flow;0.36944798247414;0.160774792217918;0.469777225307942;
47;Debris Flow;0.36944798247414;0.144959707059767;0.485592310466093;
48;Debris Flow;0.324496136697819;0.165002539923597;0.510501323378584;
49;Debris Flow;0.404566611986891;0.29893323901872;0.296500148994389;
50;Debris Flow;0.420018808972501;0.310671860720562;0.269309330306937;
51;Debris Flow;0.441089986680152;0.21619466602732;0.342715347292528;
54;Mudslides;0.107245546488309;0.123930439019075;0.768824014492616;
55;Mudslides;0.128384616098357;0.101156256684272;0.770459127217371;
56;Runoff Shallow;0.123465943513056;0.663317944740417;0.213216111746527;3
58;Runoff Shallow;0.0658485032069635;0.683980025382262;0.250171471410775;3
63;Runoff Shallow;0.0458587790191352;0.654260019859068;0.299881201121797;3
62;Runoff Shallow;0.0317483854747859;0.641966947792139;0.326284666733075;3
